student_id,class_id,school_id,test_score,family_income,race,cohort
0,7001.0,9001,68.88239155117842,134935,BLACK,EXPERIMENTAL
1,7001.0,9001,81.35560184368438,113122,WHITE,REGULAR
2,7001.0,9001,88.0985719439239,130149,WHITE,REGULAR
3,7001.0,9001,68.9479913648557,99502,BLACK,REGULAR
4,7001.0,9001,69.18886797981772,120303,HISPANIC,REGULAR
5,7001.0,9001,70.45332925164732,148233,BLACK,EXPERIMENTAL
6,7001.0,9001,73.57976898439416,82081,HISPANIC,EXPERIMENTAL
7,7001.0,9001,65.90097070297254,53338,ASIAN,EXPERIMENTAL
8,7001.0,9001,84.64468005457063,100479,WHITE,EXPERIMENTAL
9,7001.0,9001,64.51316541551918,34790,WHITE,REGULAR
10,7001.0,9001,83.86982162116094,144273,HISPANIC,REGULAR
11,7001.0,9001,73.06409069527838,53830,WHITE,REGULAR
12,7001.0,9001,76.12490155262039,108439,BLACK,REGULAR
13,7001.0,9001,66.45772864359016,91242,WHITE,REGULAR
14,7001.0,9001,58.02919096340683,43557,WHITE,EXPERIMENTAL
15,7001.0,9001,74.50313155044495,111155,HISPANIC,EXPERIMENTAL
16,7002.0,9001,82.23289395382896,124350,HISPANIC,REGULAR
17,7002.0,9001,82.00943129314489,56659,ASIAN,REGULAR
18,7002.0,9001,79.99411610694547,148027,HISPANIC,REGULAR
19,7002.0,9001,86.56779581506703,94147,HISPANIC,REGULAR
20,7002.0,9001,82.0891694724355,69593,WHITE,REGULAR
21,7002.0,9001,75.72446624299367,126163,WHITE,EXPERIMENTAL
22,7002.0,9001,76.05083305419129,122378,BLACK,REGULAR
23,7002.0,9001,80.11682669033443,148569,BLACK,EXPERIMENTAL
24,7002.0,9001,79.33038952401493,47961,WHITE,REGULAR
25,7002.0,9001,86.09024928543847,91557,BLACK,REGULAR
26,7002.0,9001,82.3481225291403,141433,WHITE,REGULAR
27,7002.0,9001,61.8733488135772,70604,BLACK,EXPERIMENTAL
28,7002.0,9001,68.76704987954656,100579,BLACK,EXPERIMENTAL
29,7002.0,9001,61.96899172899125,80805,WHITE,EXPERIMENTAL
30,7002.0,9001,70.5821475045774,103788,WHITE,EXPERIMENTAL
31,7002.0,9001,74.42862037038459,54366,WHITE,EXPERIMENTAL
32,7003.0,9013,71.41081075790943,77343,HISPANIC,REGULAR
33,7003.0,9013,80.82413412804122,36968,WHITE,REGULAR
34,7003.0,9013,70.59147702192311,101148,WHITE,REGULAR
35,7003.0,9013,80.64181934464142,112343,HISPANIC,REGULAR
36,7003.0,9013,83.99663404138236,141844,WHITE,EXPERIMENTAL
37,7003.0,9013,69.0481467815151,32591,WHITE,REGULAR
38,7003.0,9013,78.10466913781407,127289,ASIAN,EXPERIMENTAL
39,7003.0,9013,78.21616091420576,147113,ASIAN,EXPERIMENTAL
40,7003.0,9013,64.40781506262711,33294,WHITE,EXPERIMENTAL
41,7003.0,9013,87.49013642607004,98971,WHITE,REGULAR
