person_id,age,employed
0,33,1
1,40,1
2,48,1
3,38,0
4,20,1
5,22,1
6,32,1
7,24,1
8,44,1
9,37,0
10,43,0
11,50,0
12,29,1
13,27,0
14,25,1
15,22,1
16,45,0
17,30,1
18,22,1
19,29,0
20,47,1
21,49,1
22,26,0
23,48,1
24,27,0
25,25,0
26,46,1
27,50,0
28,28,0
29,45,1
30,25,0
31,26,1
32,25,1
33,50,1
34,30,1
35,31,1
36,25,0
37,49,0
38,46,1
39,30,0
40,26,1
41,23,1
42,21,1
43,28,0
44,30,1
45,25,0
46,23,0
47,45,1
48,38,1
49,38,1
50,38,1
51,26,1
52,24,1
53,20,1
54,27,1
55,49,0
56,37,1
57,43,1
58,47,1
59,43,0
60,29,1
61,28,0
62,43,1
63,43,0
64,42,1
65,20,0
66,50,1
67,23,0
68,27,0
69,29,0
70,37,0
71,50,1
72,26,1
73,34,1
74,21,1
75,33,0
76,44,0
77,20,1
78,49,1
79,23,1
80,29,0
81,21,1
82,46,1
83,20,1
84,37,0
85,48,1
86,27,0
87,27,1
88,21,1
89,42,1
90,35,0
91,40,1
92,28,1
93,44,0
94,40,1
95,32,1
96,48,0
97,42,1
98,42,1
99,47,1
100,22,0
101,43,0
102,21,1
103,50,0
104,36,1
105,38,1
106,23,0
107,45,0
108,22,1
109,44,0
110,46,0
111,37,1
112,47,0
113,47,0
114,37,1
115,39,0
116,28,0
117,43,1
118,22,1
119,46,0
120,49,1
121,33,1
122,36,0
123,41,1
124,48,1
125,35,1
126,38,1
127,25,1
128,33,1
129,23,1
130,20,0
131,28,0
132,40,0
133,37,1
134,34,1
135,37,1
136,22,0
137,48,1
138,31,0
139,46,1
140,40,1
141,29,1
142,41,0
143,20,0
144,46,1
145,26,1
146,42,1
147,30,0
148,30,1
149,39,1
150,27,1
151,21,1
152,21,1
153,43,0
154,21,1
155,42,1
156,31,1
157,47,0
158,43,1
159,46,1
160,27,0
161,39,0
162,33,0
163,46,1
164,22,0
165,37,1
166,31,0
167,30,1
168,34,1
169,41,1
170,32,1
171,42,1
172,38,0
173,37,1
174,38,1
175,31,1
176,47,0
177,28,0
178,27,1
179,25,1
180,20,1
181,42,1
182,49,1
183,42,1
184,21,0
185,26,1
186,34,1
187,49,1
188,50,0
189,37,0
190,35,0
191,40,0
192,43,1
193,26,0
194,50,0
195,25,1
196,33,0
197,46,0
198,42,1
199,24,1
200,31,1
201,25,1
202,25,0
203,50,0
204,33,1
205,36,1
206,45,1
207,20,0
208,50,1
209,44,0
210,39,1
211,48,1
212,33,1
213,41,0
214,50,0
215,45,1
216,44,0
217,32,1
218,27,1
219,48,1
220,47,1
221,30,1
222,20,1
223,48,1
224,32,1
225,31,0
226,22,0
227,46,0
228,46,0
229,49,0
230,23,0
231,40,0
232,21,0
233,20,1
234,33,1
235,30,1
236,44,0
237,21,1
238,25,1
239,24,0
240,37,1
241,43,0
242,27,1
243,28,1
244,21,1
245,34,1
246,35,1
247,46,1
248,21,0
249,43,1
250,22,1
251,44,0
252,32,0
253,44,1
254,40,0
255,35,1
256,43,0
257,33,1
258,21,0
259,42,1
260,32,1
261,26,0
262,42,1
263,21,1
264,37,1
265,36,0
266,37,0
267,25,1
268,28,0
269,22,1
270,36,1
271,40,1
272,45,0
273,33,0
274,42,0
275,36,1
276,37,0
277,46,1
278,22,1
279,39,1
280,31,1
281,20,1
282,31,0
283,27,1
284,38,1
285,44,1
286,44,1
287,29,0
288,34,1
289,30,0
290,46,1
291,30,1
292,27,0
293,46,1
294,34,0
295,29,0
296,22,0
297,46,0
298,30,1
299,49,1
300,36,1
301,44,0
302,28,1
303,32,1
304,23,1
305,21,1
306,45,0
307,46,0
308,34,1
309,24,1
310,23,1
311,24,1
312,45,1
313,27,1
314,34,0
315,46,0
316,44,1
317,31,1
318,34,1
319,27,1
320,42,1
321,24,1
322,23,0
323,45,1
324,22,0
325,22,1
326,26,0
327,22,1
328,49,0
329,28,1
330,43,1
331,20,0
332,50,0
333,45,1
334,37,0
335,43,1
336,50,1
337,48,1
338,28,1
339,49,1
340,46,0
341,39,0
342,31,1
343,26,1
344,46,0
345,37,1
346,22,1
347,42,1
348,39,1
349,32,1
350,38,0
351,37,1
352,35,1
353,45,1
354,40,1
355,29,1
356,44,0
357,33,1
358,29,1
359,27,1
360,40,0
361,42,0
362,45,1
363,31,1
364,31,0
365,24,1
366,47,0
367,33,1
368,43,1
369,35,0
370,36,1
371,22,1
372,46,0
373,42,0
374,49,1
375,36,0
376,40,1
377,23,1
378,26,1
379,50,1
380,36,1
381,35,0
382,39,1
383,39,0
384,36,1
385,25,0
386,32,0
387,38,1
388,49,1
389,24,1
390,39,0
391,40,1
392,40,1
393,38,0
394,44,1
395,42,0
396,20,1
397,36,0
398,39,1
399,37,1
400,39,0
401,36,0
402,24,1
403,43,0
404,21,0
405,42,0
406,40,1
407,35,1
408,40,0
409,48,0
410,22,1
411,35,1
412,48,1
413,41,0
414,21,0
415,34,0
416,40,0
417,39,1
418,39,1
419,34,0
420,48,1
421,33,1
422,41,1
423,40,1
424,36,1
425,20,1
426,47,1
427,26,1
428,23,1
429,31,1
430,44,1
431,47,1
432,39,1
433,29,0
434,28,1
435,39,1
436,46,0
437,38,1
438,20,1
439,40,0
440,25,1
441,21,0
442,20,0
